profile,scenario,metric,count,mean,stddev,minimum,maximum
A,baseline,attempted,5,42318.000000,9.137833,42302.000000,42324.000000
A,baseline,acknowledged,5,42318.000000,9.137833,42302.000000,42324.000000
A,baseline,failed,5,0.000000,0.000000,0.000000,0.000000
A,baseline,consumed,5,42318.000000,9.137833,42302.000000,42324.000000
A,baseline,acknowledged_missing,5,0.000000,0.000000,0.000000,0.000000
A,baseline,duplicates,5,0.000000,0.000000,0.000000,0.000000
A,baseline,sequence_regressions,5,0.000000,0.000000,0.000000,0.000000
A,baseline,sequence_gaps,5,0.000000,0.000000,0.000000,0.000000
A,baseline,out_of_order,5,0.000000,0.000000,0.000000,0.000000
A,baseline,final_lag,5,0.000000,0.000000,0.000000,0.000000
A,fault,attempted,5,52702.000000,784.253148,51503.000000,53403.000000
A,fault,acknowledged,5,51730.000000,463.856120,51159.000000,52400.000000
A,fault,failed,5,972.000000,411.561053,344.000000,1501.000000
A,fault,consumed,5,51730.000000,463.856120,51159.000000,52400.000000
A,fault,acknowledged_missing,5,0.000000,0.000000,0.000000,0.000000
A,fault,duplicates,5,0.000000,0.000000,0.000000,0.000000
A,fault,sequence_regressions,5,0.000000,0.000000,0.000000,0.000000
A,fault,sequence_gaps,5,1.000000,0.000000,1.000000,1.000000
A,fault,out_of_order,5,0.000000,0.000000,0.000000,0.000000
A,fault,final_lag,5,0.000000,0.000000,0.000000,0.000000
A,fault,infrastructure_seconds,5,45.031514,8.370701,33.024682,53.054856
A,fault,kafka_seconds,5,40.231515,8.079140,28.024683,48.054859
A,fault,application_seconds,5,1.031514,0.015015,1.015021,1.054856
A,fault,performance_seconds,5,104.031514,7.846070,92.024683,111.054856
B,baseline,attempted,5,42321.600000,2.073644,42320.000000,42325.000000
B,baseline,acknowledged,5,42321.600000,2.073644,42320.000000,42325.000000
B,baseline,failed,5,0.000000,0.000000,0.000000,0.000000
B,baseline,consumed,5,42321.600000,2.073644,42320.000000,42325.000000
B,baseline,acknowledged_missing,5,0.000000,0.000000,0.000000,0.000000
B,baseline,duplicates,5,0.000000,0.000000,0.000000,0.000000
B,baseline,sequence_regressions,5,0.000000,0.000000,0.000000,0.000000
B,baseline,sequence_gaps,5,0.000000,0.000000,0.000000,0.000000
B,baseline,out_of_order,5,0.000000,0.000000,0.000000,0.000000
B,baseline,final_lag,5,0.000000,0.000000,0.000000,0.000000
B,fault,attempted,5,52779.200000,878.978782,51796.000000,53696.000000
B,fault,acknowledged,5,52779.200000,878.978782,51796.000000,53696.000000
B,fault,failed,5,0.000000,0.000000,0.000000,0.000000
B,fault,consumed,5,52779.200000,878.978782,51796.000000,53696.000000
B,fault,acknowledged_missing,5,0.000000,0.000000,0.000000,0.000000
B,fault,duplicates,5,0.000000,0.000000,0.000000,0.000000
B,fault,sequence_regressions,5,0.000000,0.000000,0.000000,0.000000
B,fault,sequence_gaps,5,0.000000,0.000000,0.000000,0.000000
B,fault,out_of_order,5,0.000000,0.000000,0.000000,0.000000
B,fault,final_lag,5,0.000000,0.000000,0.000000,0.000000
B,fault,infrastructure_seconds,5,45.022076,8.364952,33.024649,53.022964
B,fault,kafka_seconds,5,43.822075,8.318213,34.024648,52.022965
B,fault,application_seconds,5,1.022075,0.004322,1.017134,1.027387
B,fault,performance_seconds,5,104.822075,8.785967,95.024648,114.018242
