run_id,profile,scenario,repetition,created_at,status,attempted,acknowledged,failed,consumed,acknowledged_missing,duplicates,sequence_regressions,sequence_gaps,out_of_order,final_lag,infrastructure_seconds,kafka_seconds,application_seconds,performance_seconds
official-a-baseline-r01-20260731191736-0b64,A,baseline,1,2026-07-31T19:17:40.932323831Z,passed,42302,42302,0,42302,0,0,0,0,0,0,,,,
official-a-fault-r01-20260731192900-3cb7,A,fault,1,2026-07-31T19:29:04.901437281Z,passed,51503,51159,344,51159,0,0,0,1,0,0,33.024681678,28.024682628,1.024681628,92.024683038
official-b-baseline-r01-20260731194404-1111,B,baseline,1,2026-07-31T19:44:09.597375005Z,passed,42320,42320,0,42320,0,0,0,0,0,0,,,,
official-b-fault-r01-20260731195341-35ea,B,fault,1,2026-07-31T19:53:45.373429414Z,passed,51796,51796,0,51796,0,0,0,0,0,0,33.024649211,34.024648281,1.024648532,95.024648221
official-a-baseline-r02-20260731205002-6d33,A,baseline,2,2026-07-31T20:50:07.589298308Z,passed,42322,42322,0,42322,0,0,0,0,0,0,,,,
official-a-fault-r02-20260731205827-0ca2,A,fault,2,2026-07-31T20:58:32.051801476Z,passed,52703,51693,1010,51693,0,0,0,1,0,0,43.027132167,40.027133156,1.027133006,104.027132126
official-b-baseline-r02-20260731203138-75a0,B,baseline,2,2026-07-31T20:31:42.170058373Z,passed,42322,42322,0,42322,0,0,0,0,0,0,,,,
official-b-fault-r02-20260731204001-33a2,B,fault,2,2026-07-31T20:40:06.339981212Z,passed,51996,51996,0,51996,0,0,0,0,0,0,43.017134273,37.017133973,1.017134254,97.017134093
official-a-baseline-r03-20260731210834-1e66,A,baseline,3,2026-07-31T21:08:38.76026457Z,passed,42319,42319,0,42319,0,0,0,0,0,0,,,,
official-a-fault-r03-20260731211658-3ab3,A,fault,3,2026-07-31T21:17:02.97131893Z,passed,52499,51496,1003,51496,0,0,0,1,0,0,43.03587906,38.03587825,1.03587998,102.03587823
official-b-baseline-r03-20260731212704-3a2a,B,baseline,3,2026-07-31T21:27:09.223826685Z,passed,42321,42321,0,42321,0,0,0,0,0,0,,,,
official-b-fault-r03-20260731213526-736c,B,fault,3,2026-07-31T21:35:31.592422596Z,passed,52811,52811,0,52811,0,0,0,0,0,0,43.027388296,44.027388516,1.027387266,105.027387176
official-a-baseline-r04-20260731220416-1153,A,baseline,4,2026-07-31T22:04:20.955462002Z,passed,42324,42324,0,42324,0,0,0,0,0,0,,,,
official-a-fault-r04-20260731221239-383a,A,fault,4,2026-07-31T22:12:43.704851355Z,passed,53403,51902,1501,51902,0,0,0,1,0,0,53.054856131,48.054858682,1.054855501,111.054855971
official-b-baseline-r04-20260731214535-0e44,B,baseline,4,2026-07-31T21:45:40.073727235Z,passed,42320,42320,0,42320,0,0,0,0,0,0,,,,
official-b-fault-r04-20260731215358-7cff,B,fault,4,2026-07-31T21:54:02.851065394Z,passed,53597,53597,0,53597,0,0,0,0,0,0,53.022963542,52.022964581,1.022962861,113.022964001
official-a-baseline-r05-20260731222255-5616,A,baseline,5,2026-07-31T22:22:58.810416194Z,passed,42323,42323,0,42323,0,0,0,0,0,0,,,,
official-a-fault-r05-20260731223117-4571,A,fault,5,2026-07-31T22:31:22.854960215Z,passed,53402,52400,1002,52400,0,0,0,1,0,0,53.015020881,47.015021302,1.015020921,111.015021921
official-b-baseline-r05-20260731224135-5392,B,baseline,5,2026-07-31T22:41:40.570485527Z,passed,42325,42325,0,42325,0,0,0,0,0,0,,,,
official-b-fault-r05-20260731224959-4b29,B,fault,5,2026-07-31T22:50:03.185116734Z,passed,53696,53696,0,53696,0,0,0,0,0,0,53.018243732,52.018242022,1.018243622,114.018241782
