NAME                                          READY   STATUS      RESTARTS       AGE   LABELS
experiment-brokers-0                          1/1     Running     1 (12h ago)    21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=true,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-brokers,strimzi.io/controller-role=false,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-brokers-0,strimzi.io/pool-name=brokers
experiment-brokers-1                          1/1     Running     0              21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=true,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-brokers,strimzi.io/controller-role=false,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-brokers-1,strimzi.io/pool-name=brokers
experiment-brokers-2                          1/1     Running     1 (12h ago)    21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=true,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-brokers,strimzi.io/controller-role=false,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-brokers-2,strimzi.io/pool-name=brokers
experiment-controllers-3                      1/1     Running     0              21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=false,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-controllers,strimzi.io/controller-role=true,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-controllers-3,strimzi.io/pool-name=controllers
experiment-controllers-4                      1/1     Running     0              21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=false,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-controllers,strimzi.io/controller-role=true,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-controllers-4,strimzi.io/pool-name=controllers
experiment-controllers-5                      1/1     Running     1 (12h ago)    21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-experiment,strimzi.io/broker-role=false,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka,strimzi.io/controller-name=experiment-controllers,strimzi.io/controller-role=true,strimzi.io/controller=strimzipodset,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka,strimzi.io/pod-name=experiment-controllers-5,strimzi.io/pool-name=controllers
experiment-entity-operator-549d8774b8-ml8f4   2/2     Running     2 (12h ago)    21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=entity-operator,app.kubernetes.io/part-of=strimzi-experiment,pod-template-hash=549d8774b8,strimzi.io/cluster=experiment,strimzi.io/component-type=entity-operator,strimzi.io/kind=Kafka,strimzi.io/name=experiment-entity-operator
experiment-kafka-exporter-677df8979d-gxlhp    1/1     Running     0              21h   app.kubernetes.io/instance=experiment,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka-exporter,app.kubernetes.io/part-of=strimzi-experiment,pod-template-hash=677df8979d,strimzi.io/cluster=experiment,strimzi.io/component-type=kafka-exporter,strimzi.io/kind=Kafka,strimzi.io/name=experiment-kafka-exporter
smoke-20260727204312-3d82-dqr9f               0/1     Error       0              19h   app.kubernetes.io/name=experiment-runner,batch.kubernetes.io/controller-uid=645d4457-c2eb-46d5-b906-ce344a36370d,batch.kubernetes.io/job-name=smoke-20260727204312-3d82,controller-uid=645d4457-c2eb-46d5-b906-ce344a36370d,job-name=smoke-20260727204312-3d82
smoke-20260727221427-167c-cdrv8               0/1     Error       0              18h   app.kubernetes.io/name=experiment-runner,batch.kubernetes.io/controller-uid=9062d4ba-e26c-4979-82dd-e142a33a9843,batch.kubernetes.io/job-name=smoke-20260727221427-167c,controller-uid=9062d4ba-e26c-4979-82dd-e142a33a9843,job-name=smoke-20260727221427-167c
